county,date,spreading_prob
Beaufort,2021-12-09,0.392333333333333
Beaufort,2021-12-10,0.365333333333333
Beaufort,2021-12-11,0.348666666666667
Beaufort,2021-12-12,0.346333333333333
Beaufort,2021-12-13,0.358
Beaufort,2021-12-14,0.388666666666667
Beaufort,2021-12-15,0.431
Beaufort,2021-12-16,0.487666666666667
Beaufort,2021-12-17,0.554666666666667
Beaufort,2021-12-18,0.614666666666667
Beaufort,2021-12-19,0.660333333333333
Beaufort,2021-12-20,0.688333333333333
Beaufort,2021-12-21,0.698666666666667
Beaufort,2021-12-22,0.708666666666667
Beaufort,2021-12-23,0.714
Beaufort,2021-12-24,0.712666666666667
Beaufort,2021-12-25,0.712333333333333
Beaufort,2021-12-26,0.711
Beaufort,2021-12-27,0.713
Beaufort,2021-12-28,0.709666666666667
Beaufort,2021-12-29,0.704333333333333
Beaufort,2021-12-30,0.698
Beaufort,2021-12-31,0.698
Beaufort,2022-01-01,0.698
Beaufort,2022-01-02,0.698
Beaufort,2022-01-03,0.698
Beaufort,2022-01-04,0.698
Beaufort,2022-01-05,0.698
Beaufort,2022-01-06,0.698
Beaufort,2022-01-07,0.698
Beaufort,2022-01-08,0.698
Beaufort,2022-01-09,0.698
Beaufort,2022-01-10,0.698
Beaufort,2022-01-11,0.698
Beaufort,2022-01-12,0.698
Beaufort,2022-01-13,0.698
Bertie,2021-10-08,0.0993333333333333
Bertie,2021-10-09,0.085
Bertie,2021-10-10,0.0753333333333333
Bertie,2021-10-11,0.0646666666666667
Bertie,2021-10-12,0.0533333333333333
Bertie,2021-10-13,0.0443333333333333
Bertie,2021-10-14,0.0386666666666667
Bertie,2021-10-15,0.0286666666666667
Bertie,2021-10-16,0.0256666666666667
Bertie,2021-10-17,0.0236666666666667
Bertie,2021-10-18,0.027
Bertie,2021-10-19,0.0266666666666667
Bertie,2021-10-20,0.0236666666666667
Bertie,2021-10-21,0.025
Bertie,2021-10-22,0.0253333333333333
Bertie,2021-10-23,0.0306666666666667
Bertie,2021-10-24,0.034
Bertie,2021-10-25,0.036
Bertie,2021-10-26,0.04
Bertie,2021-10-27,0.0416666666666667
Bertie,2021-10-28,0.05
Bertie,2021-10-29,0.059
Bertie,2021-10-30,0.0703333333333333
Bertie,2021-10-31,0.0836666666666667
Bertie,2021-11-01,0.102333333333333
Bertie,2021-11-02,0.125333333333333
Bertie,2021-11-03,0.149666666666667
